id,industry,risk_domain,title,description,tags,source_ref,notes
domain-sanctions-trade-compliance,Maritime / Middle East shipping (POC),Sanctions & trade compliance,Sanctions & trade compliance — core exposure,"Vessel, owner, consignee, cargo, port, beneficial owner may be restricted Example sources: OFAC, UN, EU sanctions","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
sanctions-trade-compliance-ofac,Maritime / Middle East shipping (POC),Sanctions & trade compliance,Sanctions & trade compliance: OFAC,"Vessel, owner, consignee, cargo, port, beneficial owner may be restricted","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
sanctions-trade-compliance-eu-sanctions,Maritime / Middle East shipping (POC),Sanctions & trade compliance,Sanctions & trade compliance: EU sanctions,"Vessel, owner, consignee, cargo, port, beneficial owner may be restricted","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-maritime-security,Maritime / Middle East shipping (POC),Maritime security,Maritime security — core exposure,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure Example sources: UKMTO, JMIC, MSCIO, IMB","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
maritime-security-ukmto,Maritime / Middle East shipping (POC),Maritime security,Maritime security: UKMTO,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
maritime-security-jmic,Maritime / Middle East shipping (POC),Maritime security,Maritime security: JMIC,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
maritime-security-mscio,Maritime / Middle East shipping (POC),Maritime security,Maritime security: MSCIO,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
maritime-security-imb,Maritime / Middle East shipping (POC),Maritime security,Maritime security: IMB,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-port-state-control-vessel-quality,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality — core exposure,"Detentions, deficiencies, safety history, substandard vessel risk Example sources: Riyadh MoU, Paris MoU, Equasis, IMO","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
port-state-control-vessel-quality-riyadh-mou,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality: Riyadh MoU,"Detentions, deficiencies, safety history, substandard vessel risk","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
port-state-control-vessel-quality-paris-mou,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality: Paris MoU,"Detentions, deficiencies, safety history, substandard vessel risk","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
port-state-control-vessel-quality-equasis,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality: Equasis,"Detentions, deficiencies, safety history, substandard vessel risk","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
port-state-control-vessel-quality-imo,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality: IMO,"Detentions, deficiencies, safety history, substandard vessel risk","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-environmental-esg,Maritime / Middle East shipping (POC),Environmental / ESG,Environmental / ESG — core exposure,"MARPOL compliance, emissions, waste, fuel reporting, CII exposure Example sources: IMO MARPOL, IMO DCS, EU MRV","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
environmental-esg-imo-marpol,Maritime / Middle East shipping (POC),Environmental / ESG,Environmental / ESG: IMO MARPOL,"MARPOL compliance, emissions, waste, fuel reporting, CII exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
environmental-esg-imo-dcs,Maritime / Middle East shipping (POC),Environmental / ESG,Environmental / ESG: IMO DCS,"MARPOL compliance, emissions, waste, fuel reporting, CII exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
environmental-esg-eu-mrv,Maritime / Middle East shipping (POC),Environmental / ESG,Environmental / ESG: EU MRV,"MARPOL compliance, emissions, waste, fuel reporting, CII exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-cargo-dangerous-goods,Maritime / Middle East shipping (POC),Cargo & dangerous goods,Cargo & dangerous goods — core exposure,"Restricted cargo, dual-use goods, hazardous cargo, documentation mismatch Example sources: Internal booking, customs, bills of lading","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
cargo-dangerous-goods-internal-booking,Maritime / Middle East shipping (POC),Cargo & dangerous goods,Cargo & dangerous goods: Internal booking,"Restricted cargo, dual-use goods, hazardous cargo, documentation mismatch","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
cargo-dangerous-goods-customs,Maritime / Middle East shipping (POC),Cargo & dangerous goods,Cargo & dangerous goods: customs,"Restricted cargo, dual-use goods, hazardous cargo, documentation mismatch","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
cargo-dangerous-goods-bills-of-lading,Maritime / Middle East shipping (POC),Cargo & dangerous goods,Cargo & dangerous goods: bills of lading,"Restricted cargo, dual-use goods, hazardous cargo, documentation mismatch","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-counterparty-ownership-risk,Maritime / Middle East shipping (POC),Counterparty / ownership risk,Counterparty / ownership risk — core exposure,"Shell entities, sanctioned owners, high-risk charterers, opaque ownership Example sources: KYC, sanctions, company registry, P&I","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
counterparty-ownership-risk-kyc,Maritime / Middle East shipping (POC),Counterparty / ownership risk,Counterparty / ownership risk: KYC,"Shell entities, sanctioned owners, high-risk charterers, opaque ownership","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
counterparty-ownership-risk-sanctions,Maritime / Middle East shipping (POC),Counterparty / ownership risk,Counterparty / ownership risk: sanctions,"Shell entities, sanctioned owners, high-risk charterers, opaque ownership","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
counterparty-ownership-risk-company-registry,Maritime / Middle East shipping (POC),Counterparty / ownership risk,Counterparty / ownership risk: company registry,"Shell entities, sanctioned owners, high-risk charterers, opaque ownership","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
counterparty-ownership-risk-p-i,Maritime / Middle East shipping (POC),Counterparty / ownership risk,Counterparty / ownership risk: P&I,"Shell entities, sanctioned owners, high-risk charterers, opaque ownership","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-voyage-route-risk,Maritime / Middle East shipping (POC),Voyage / route risk,Voyage / route risk — core exposure,"Passage through high-risk chokepoints and conflict zones Example sources: AIS, voyage plan, UKMTO/JMIC alerts","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
voyage-route-risk-ais,Maritime / Middle East shipping (POC),Voyage / route risk,Voyage / route risk: AIS,Passage through high-risk chokepoints and conflict zones,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
voyage-route-risk-voyage-plan,Maritime / Middle East shipping (POC),Voyage / route risk,Voyage / route risk: voyage plan,Passage through high-risk chokepoints and conflict zones,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
voyage-route-risk-ukmto-jmic-alerts,Maritime / Middle East shipping (POC),Voyage / route risk,Voyage / route risk: UKMTO/JMIC alerts,Passage through high-risk chokepoints and conflict zones,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-insurance-claims-risk,Maritime / Middle East shipping (POC),Insurance / claims risk,Insurance / claims risk — core exposure,"War-risk premium, exclusions, denied coverage, P&I exposure Example sources: Broker, insurer, P&I club data","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
insurance-claims-risk-broker,Maritime / Middle East shipping (POC),Insurance / claims risk,Insurance / claims risk: Broker,"War-risk premium, exclusions, denied coverage, P&I exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
insurance-claims-risk-insurer,Maritime / Middle East shipping (POC),Insurance / claims risk,Insurance / claims risk: insurer,"War-risk premium, exclusions, denied coverage, P&I exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
insurance-claims-risk-p-i-club-data,Maritime / Middle East shipping (POC),Insurance / claims risk,Insurance / claims risk: P&I club data,"War-risk premium, exclusions, denied coverage, P&I exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-operational-disruption,Maritime / Middle East shipping (POC),Operational disruption,Operational disruption — core exposure,"Port closure, congestion, weather, canal disruption, detention Example sources: Port feeds, notices, AIS, incident reports","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
operational-disruption-port-feeds,Maritime / Middle East shipping (POC),Operational disruption,Operational disruption: Port feeds,"Port closure, congestion, weather, canal disruption, detention","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
operational-disruption-notices,Maritime / Middle East shipping (POC),Operational disruption,Operational disruption: notices,"Port closure, congestion, weather, canal disruption, detention","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
operational-disruption-ais,Maritime / Middle East shipping (POC),Operational disruption,Operational disruption: AIS,"Port closure, congestion, weather, canal disruption, detention","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
operational-disruption-incident-reports,Maritime / Middle East shipping (POC),Operational disruption,Operational disruption: incident reports,"Port closure, congestion, weather, canal disruption, detention","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-cyber-digital-operations,Maritime / Middle East shipping (POC),Cyber / digital operations,Cyber / digital operations — core exposure,"Port systems, EDI, cargo docs, vessel communication, spoofing/GNSS Example sources: Internal logs, advisories, incident feeds","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
cyber-digital-operations-internal-logs,Maritime / Middle East shipping (POC),Cyber / digital operations,Cyber / digital operations: Internal logs,"Port systems, EDI, cargo docs, vessel communication, spoofing/GNSS","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
cyber-digital-operations-advisories,Maritime / Middle East shipping (POC),Cyber / digital operations,Cyber / digital operations: advisories,"Port systems, EDI, cargo docs, vessel communication, spoofing/GNSS","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
cyber-digital-operations-incident-feeds,Maritime / Middle East shipping (POC),Cyber / digital operations,Cyber / digital operations: incident feeds,"Port systems, EDI, cargo docs, vessel communication, spoofing/GNSS","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-the-isps-code-is-a-useful-baseline-for-maritime-and-port-security-because-its-mandatory-p,Maritime / Middle East shipping (POC),"The ISPS Code is a useful baseline for maritime and port security because its mandatory Part A covers requirements that SOLAS contracting governments, port authorities, and shipping companies must follow. Port State Control is also central because it verifies that foreign ships in national ports comply with international safety, security, manning, and pollution requirements.","The ISPS Code is a useful baseline for maritime and port security because its mandatory Part A covers requirements that SOLAS contracting governments, port authorities, and shipping companies must follow. Port State Control is also central because it verifies that foreign ships in national ports comply with international safety, security, manning, and pollution requirements. — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-2-conceptual-data-model,Maritime / Middle East shipping (POC),2. Conceptual data model,2. Conceptual data model — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-think-of-the-model-in-7-layers,Maritime / Middle East shipping (POC),Think of the model in 7 layers:,Think of the model in 7 layers: — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-reference-layer,Maritime / Middle East shipping (POC),Reference Layer,Reference Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-countries-ports-risk-zones-regulations-risk-taxonomy,Maritime / Middle East shipping (POC),"Countries, Ports, Risk Zones, Regulations, Risk Taxonomy","Countries, Ports, Risk Zones, Regulations, Risk Taxonomy — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-master-layer,Maritime / Middle East shipping (POC),Master Layer,Master Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-companies-vessels-counterparties-owners-operators-crew-insurers,Maritime / Middle East shipping (POC),"Companies, Vessels, Counterparties, Owners, Operators, Crew, Insurers","Companies, Vessels, Counterparties, Owners, Operators, Crew, Insurers — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-transaction-layer,Maritime / Middle East shipping (POC),Transaction Layer,Transaction Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-voyages-port-calls-cargo-bills-of-lading-charter-parties-bunkering,Maritime / Middle East shipping (POC),"Voyages, Port Calls, Cargo, Bills of Lading, Charter Parties, Bunkering","Voyages, Port Calls, Cargo, Bills of Lading, Charter Parties, Bunkering — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-external-monitoring-layer,Maritime / Middle East shipping (POC),External Monitoring Layer,External Monitoring Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-sanctions-lists-psc-inspections-security-advisories-ais-events-weather-port-notices,Maritime / Middle East shipping (POC),"Sanctions Lists, PSC Inspections, Security Advisories, AIS Events, Weather, Port Notices","Sanctions Lists, PSC Inspections, Security Advisories, AIS Events, Weather, Port Notices — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-risk-intelligence-layer,Maritime / Middle East shipping (POC),Risk Intelligence Layer,Risk Intelligence Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-risk-events-risk-scores-alerts-rule-hits-evidence-source-confidence,Maritime / Middle East shipping (POC),"Risk Events, Risk Scores, Alerts, Rule Hits, Evidence, Source Confidence","Risk Events, Risk Scores, Alerts, Rule Hits, Evidence, Source Confidence — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-control-compliance-layer,Maritime / Middle East shipping (POC),Control & Compliance Layer,Control & Compliance Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-controls-obligations-screening-results-certificates-audit-trail,Maritime / Middle East shipping (POC),"Controls, Obligations, Screening Results, Certificates, Audit Trail","Controls, Obligations, Screening Results, Certificates, Audit Trail — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-workflow-layer,Maritime / Middle East shipping (POC),Workflow Layer,Workflow Layer — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-cases-actions-approvals-exceptions-escalations-remediation,Maritime / Middle East shipping (POC),"Cases, Actions, Approvals, Exceptions, Escalations, Remediation","Cases, Actions, Approvals, Exceptions, Escalations, Remediation — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-3-core-table-structure,Maritime / Middle East shipping (POC),3. Core table structure,3. Core table structure — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-a-reference-tables,Maritime / Middle East shipping (POC),A. Reference tables,A. Reference tables — core exposure,,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-these-make-the-solution-replicable-across-uae-saudi-arabia-oman-qatar-bahrain-kuwait-egyp,Maritime / Middle East shipping (POC),"These make the solution replicable across UAE, Saudi Arabia, Oman, Qatar, Bahrain, Kuwait, Egypt, Jordan, and other regional markets.","These make the solution replicable across UAE, Saudi Arabia, Oman, Qatar, Bahrain, Kuwait, Egypt, Jordan, and other regional markets. — core exposure",,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
domain-table,Maritime / Middle East shipping (POC),Table,Table — core exposure,Purpose Example sources: Key fields,"poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
table-key-fields,Maritime / Middle East shipping (POC),Table,Table: Key fields,Purpose,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-ref-country,Maritime / Middle East shipping (POC),ref_country,ref_country — core exposure,"Country master Example sources: country_id, iso2, iso3, country_name, region, sanctions_risk_tier","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
ref-country-country-id,Maritime / Middle East shipping (POC),ref_country,ref_country: country_id,Country master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-country-iso2,Maritime / Middle East shipping (POC),ref_country,ref_country: iso2,Country master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-country-iso3,Maritime / Middle East shipping (POC),ref_country,ref_country: iso3,Country master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-country-country-name,Maritime / Middle East shipping (POC),ref_country,ref_country: country_name,Country master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-country-region,Maritime / Middle East shipping (POC),ref_country,ref_country: region,Country master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-country-sanctions-risk-tier,Maritime / Middle East shipping (POC),ref_country,ref_country: sanctions_risk_tier,Country master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-ref-port,Maritime / Middle East shipping (POC),ref_port,ref_port — core exposure,"Port master Example sources: port_id, unlocode, port_name, country_id, latitude, longitude, port_type, is_freezone, is_high_risk","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
ref-port-port-id,Maritime / Middle East shipping (POC),ref_port,ref_port: port_id,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-port-unlocode,Maritime / Middle East shipping (POC),ref_port,ref_port: unlocode,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-port-port-name,Maritime / Middle East shipping (POC),ref_port,ref_port: port_name,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-port-country-id,Maritime / Middle East shipping (POC),ref_port,ref_port: country_id,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-port-latitude,Maritime / Middle East shipping (POC),ref_port,ref_port: latitude,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-port-longitude,Maritime / Middle East shipping (POC),ref_port,ref_port: longitude,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
ref-port-port-type,Maritime / Middle East shipping (POC),ref_port,ref_port: port_type,Port master,"poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
